"YTS ID","IMDb ID","Movie Title","Year","Language","Rating","Quality","YTS URL","IMDb URL","Torrent URL"
"48764","tt15829724","The Locksmith","2023","en","4.9","2160p","https://yts.mx/movies/the-locksmith-2023","https://www.imdb.com/title/tt15829724","https://yts.mx/torrent/download/66580C4D2CBD211AD8702004E9D1407EF135E4F3"
"48736","tt15789492","Infiesto","2023","es","5.6","2160p","https://yts.mx/movies/infiesto-2023","https://www.imdb.com/title/tt15789492","https://yts.mx/torrent/download/FC385855FF5A879C8C6C58420C4D3B66905BEAD7"
"48735","tt2353868","True Spirit","2023","en","6.8","2160p","https://yts.mx/movies/true-spirit-2023","https://www.imdb.com/title/tt2353868","https://yts.mx/torrent/download/175E17E37AF9AFD754102E40018116B117115611"
"48730","tt5884796","Plane","2023","en","6.5","2160p","https://yts.mx/movies/plane-2023","https://www.imdb.com/title/tt5884796","https://yts.mx/torrent/download/38C1F2AF62F1BA0498B99477A6D5808879E72587"
"48726","tt11687104","Alice, Darling","2022","en","5.6","2160p","https://yts.mx/movies/alice-darling-2022","https://www.imdb.com/title/tt11687104","https://yts.mx/torrent/download/8339AD72C92214917AF3C3E39BF0623452A870A1"
"48680","tt19796996","Lowndes County and the Road to Black Power","2022","en","7.9","2160p","https://yts.mx/movies/lowndes-county-and-the-road-to-black-power-2022","https://www.imdb.com/title/tt19796996","https://yts.mx/torrent/download/F45C68025BB327F104E93B8405C7A61A0BEDE325"
"48638","tt16236048","Will You Marry?","2021","tl","5.2","2160p","https://yts.mx/movies/will-you-marry-2021","https://www.imdb.com/title/tt16236048","https://yts.mx/torrent/download/6033F23E9195473A0534E32799B5A3DE1A1F0DB4"
"48635","tt26452836","Copenhagen Cowboy: Nightcall with Nicolas Winding Refn","2023","da","6.4","2160p","https://yts.mx/movies/copenhagen-cowboy-nightcall-with-nicolas-winding-refn-2023","https://www.imdb.com/title/tt26452836","https://yts.mx/torrent/download/BC58D38062A05494D75470BCB83DF9268C9F82EF"
"48632","tt22769820","Legion of Super-Heroes","2023","en","5.8","2160p","https://yts.mx/movies/legion-of-super-heroes-2023","https://www.imdb.com/title/tt22769820","https://yts.mx/torrent/download/80BDF5E7B1E1D066DF0F111C1966705B395C9E59"
"48620","tt18376122","Pamela: A Love Story","2023","en","7.2","2160p","https://yts.mx/movies/pamela-a-love-story-2023","https://www.imdb.com/title/tt18376122","https://yts.mx/torrent/download/794204879C5B5E30DAC43D01A4BB490FFD3ABFF2"
"48619","tt10640346","Babylon","2022","en","7.1","2160p","https://yts.mx/movies/babylon-2022","https://www.imdb.com/title/tt10640346","https://yts.mx/torrent/download/01BEE8329E244976375734711F32845559A95677"
"48613","tt9114286","Black Panther: Wakanda Forever","2022","en","6.7","2160p","https://yts.mx/movies/black-panther-wakanda-forever-2022","https://www.imdb.com/title/tt9114286","https://yts.mx/torrent/download/6B04AACB3944FEB43581348847B8EE68EE848899"
